ITEM,Consumo
06/01/2002,10493.4114890886
07/01/2002,11989.4060282014
08/01/2002,12120.0906951505
09/01/2002,11987.5147899611
10/01/2002,10643.3378585321
11/01/2002,12112.6846522019
12/01/2002,11842.6442680190
13/01/2002,10707.8856419444
14/01/2002,12397.4796219486
15/01/2002,12560.1334288366
16/01/2002,12738.4994632055
17/01/2002,12732.3939732535
18/01/2002,12687.6513956034
19/01/2002,11425.1657106403
20/01/2002,10387.9820140523
21/01/2002,12161.2724339691
22/01/2002,12355.8106984866
23/01/2002,12666.7463652814
24/01/2002,12856.6176936438
25/01/2002,12812.7825758016
26/01/2002,11985.2837770232
27/01/2002,10700.3436891167
28/01/2002,12714.6127792289
29/01/2002,13063.2498464773
30/01/2002,13017.3865350552
31/01/2002,13030.4547926580
01/02/2002,12733.1463755410
02/02/2002,11740.6627857735
03/02/2002,10528.6951935620
04/02/2002,12433.9286111404
05/02/2002,12627.9144340117
06/02/2002,12731.9120873825
07/02/2002,12779.2577939034
08/02/2002,12544.0559358231
09/02/2002,11329.6500501681
10/02/2002,10609.4168037403
11/02/2002,11144.9767330479
12/02/2002,10466.4931269468
13/02/2002,11907.4389245950
14/02/2002,12745.8891999053
15/02/2002,12829.2328892426
16/02/2002,12595.6955449733
17/02/2002,11111.1455420496
18/02/2002,13202.8107718911
19/02/2002,13517.4780230137
20/02/2002,13588.1780905038
21/02/2002,13681.0525311296
22/02/2002,13822.0005114798
23/02/2002,12878.9270848233
24/02/2002,11727.3007288560
25/02/2002,13469.9527077252
26/02/2002,13590.5224026154
27/02/2002,13773.9008658299
28/02/2002,13631.8992503257
01/03/2002,13483.0579517208
02/03/2002,12115.3201160061
03/03/2002,10639.7113559771
04/03/2002,12352.1323736534
05/03/2002,12671.5504970422
06/03/2002,12825.3410805985
07/03/2002,13009.1356842164
08/03/2002,12991.6738230336
09/03/2002,11949.7416791696
10/03/2002,10968.6272524911
11/03/2002,12616.5990207651
12/03/2002,13105.8351545623
13/03/2002,13307.3528055122
14/03/2002,13513.6021047387
15/03/2002,13534.5711735314
16/03/2002,12225.0799385506
17/03/2002,10895.3185689121
18/03/2002,13100.1736835949
19/03/2002,13057.0466266589
20/03/2002,13414.4224107211
21/03/2002,13538.6770197949
22/03/2002,13364.0333340962
23/03/2002,12158.7626858102
24/03/2002,11004.2739381174
25/03/2002,13269.4672322159
26/03/2002,13435.1219354080
27/03/2002,13514.0200025773
28/03/2002,12955.4086486062
29/03/2002,10694.0412092194
30/03/2002,11651.4211281588
31/03/2002,10841.5455645397
01/04/2002,13163.8995653594
02/04/2002,13485.7754150420
03/04/2002,13354.0599187476
04/04/2002,13372.4474416019
05/04/2002,13231.9775625461
06/04/2002,12213.9760664291
07/04/2002,11099.8255385866
08/04/2002,13390.1502174557
09/04/2002,13773.9778632163
10/04/2002,13483.5465391067
