FER,Y,D1,D2,D3,D4,D5,D6,D7
carnaval,10.466,11.145,10.609,11.330,12.544,12.779,12.732,12.628
sexta-feira santa,10.694,12.955,13.514,13.435,13.269,11.004,12.159,13.364
tiradentes,11.245,12.574,13.633,13.780,13.435,13.065,13.404,11.337
dia do trabalho,11.480,13.424,13.395,11.109,12.219,13.452,13.098,13.192
corpus,11.849,13.795,13.855,13.683,11.485,12.582,13.855,14.091
adesao do pará,13.033,14.458,14.552,14.227,11.905,13.288,14.369,14.282
independencia,12.520,14.500,14.417,14.576,14.733,14.603,12.203,13.476
nossa sra aparecida,13.113,15.000,15.175,15.050,14.936,14.484,12.103,13.563
finados,13.028,14.862,15.030,14.974,15.016,13.675,12.151,13.593
proclamação da república,13.231,15.043,15.144,14.991,14.559,12.137,13.435,14.943
natal,11.984,13.877,14.426,12.606,13.398,14.518,14.783,15.045
confraternizaçao universal,11.937,13.450,13.922,12.293,13.194,14.127,14.009,11.984
carnaval,11.762,12.535,11.572,12.675,14.057,14.244,14.289,14.058
sexta-feira santa,11.727,13.980,14.571,14.408,14.485,12.386,13.552,14.607
tiradentes,12.394,11.909,12.544,11.727,13.980,14.571,14.408,14.485
dia do trabalho,12.414,14.792,14.761,14.253,12.141,13.151,14.578,14.611
corpus,12.893,14.951,14.845,14.941,12.715,13.984,15.229,15.445
adesao do pará,14.046,15.718,15.684,15.748,15.218,12.721,14.146,15.491
independencia,13.011,14.317,15.647,15.694,15.619,15.463,15.006,12.541
nossa sra aparecida,13.112,14.598,16.061,16.188,16.140,15.997,15.740,13.195
finados,13.039,14.476,15.730,15.954,15.978,15.576,14.461,13.202
proclamação da república,13.958,15.961,16.096,16.261,16.029,15.536,13.082,14.623
natal,12.966,14.855,15.704,15.424,13.170,14.409,15.617,15.846
confraternização universal,12.961,14.745,15.212,14.696,12.704,13.897,14.603,12.966
carnaval,12.464,12.996,12.230,13.701,14.872,15.085,15.174,15.090
sexta-feira santa,12.751,15.052,15.748,16.236,16.117,13.554,14.862,15.906
tiradentes,13.969,16.064,15.877,13.133,14.658,15.945,15.714,8.823
dia do trabalho,13.780,16.466,16.405,16.404,15.876,15.605,13.072,14.586
corpus,13.672,16.160,16.211,15.820,13.199,14.775,16.346,16.180
adesao do pará,13.592,14.996,16.238,16.186,16.277,16.508,16.113,12.990
independencia,14.107,15.849,13.815,15.137,16.682,16.773,16.581,16.933
nossa sra aparecida,14.685,16.393,13.862,15.523,17.055,16.934,16.994,16.909
finados,13.430,16.214,13.835,15.414,16.979,16.738,16.648,17.077
proclamação da república,14.462,14.373,15.983,17.505,17.303,17.361,17.425,17.045
natal,13.326,15.438,17.063,17.368,17.395,17.172,14.563,15.913
confraternização universal,13.646,15.275,16.352,15.896,15.708,15.880,13.757,13.326
carnaval,14.060,14.721,13.613,14.693,16.130,16.617,16.733,16.671
sexta-feira santa,13.106,15.771,16.680,16.749,16.665,13.809,15.140,17.236
tiradentes,14.751,17.013,17.529,17.329,14.359,15.717,17.113,17.300
dia do trabalho,13.836,15.319,16.592,17.042,17.428,17.237,16.297,14.217
corpus,14.513,17.152,16.938,16.529,13.770,15.316,16.982,17.022
adesao do pará,15.838,14.993,16.491,18.179,18.499,18.668,18.789,18.449
independencia,15.827,18.402,18.230,15.416,17.018,18.684,18.758,18.443
nossa sra aparecida,16.102,18.358,18.376,15.629,17.406,18.904,19.095,19.430
finados,16.163,19.079,18.987,15.987,17.463,18.757,18.973,19.024
proclamação da república,16.474,18.279,15.619,17.192,19.082,18.897,19.301,19.319
natal,14.604,16.240,17.626,17.847,17.674,17.786,18.066,15.719
confraternização universal,14.113,15.653,16.374,16.487,16.837,17.821,17.237,14.604
carnaval,14.631,15.712,14.779,16.886,18.494,18.559,18.565,18.342
sexta-feira santa,14.999,17.552,18.065,17.922,17.878,14.651,16.243,17.938
tiradentes,15.677,17.933,18.261,17.915,17.379,14.751,15.872,14.999
dia do trabalho,14.966,14.669,16.664,18.149,18.116,17.841,17.699,18.030
