DT,Y,D1,D2,D3,D4,D5,D6,D7
A1,10.708,11.843,12.113,10.643,11.988,12.120,11.989,10.493
A2,12.397,10.708,11.843,12.113,10.643,11.988,12.120,11.989
A3,12.560,12.397,10.708,11.843,12.113,10.643,11.988,12.120
A4,12.738,12.560,12.397,10.708,11.843,12.113,10.643,11.988
A5,12.732,12.738,12.560,12.397,10.708,11.843,12.113,10.643
A6,12.688,12.732,12.738,12.560,12.397,10.708,11.843,12.113
A7,11.425,12.688,12.732,12.738,12.560,12.397,10.708,11.843
A8,10.388,11.425,12.688,12.732,12.738,12.560,12.397,10.708
A9,12.161,10.388,11.425,12.688,12.732,12.738,12.560,12.397
A10,12.356,12.161,10.388,11.425,12.688,12.732,12.738,12.560
A11,12.667,12.356,12.161,10.388,11.425,12.688,12.732,12.738
A12,12.857,12.667,12.356,12.161,10.388,11.425,12.688,12.732
A13,12.813,12.857,12.667,12.356,12.161,10.388,11.425,12.688
A14,11.985,12.813,12.857,12.667,12.356,12.161,10.388,11.425
A15,10.700,11.985,12.813,12.857,12.667,12.356,12.161,10.388
A16,12.715,10.700,11.985,12.813,12.857,12.667,12.356,12.161
A17,13.063,12.715,10.700,11.985,12.813,12.857,12.667,12.356
A18,13.017,13.063,12.715,10.700,11.985,12.813,12.857,12.667
A19,13.030,13.017,13.063,12.715,10.700,11.985,12.813,12.857
A20,12.733,13.030,13.017,13.063,12.715,10.700,11.985,12.813
A21,11.741,12.733,13.030,13.017,13.063,12.715,10.700,11.985
A22,10.529,11.741,12.733,13.030,13.017,13.063,12.715,10.700
A23,12.434,10.529,11.741,12.733,13.030,13.017,13.063,12.715
A24,12.628,12.434,10.529,11.741,12.733,13.030,13.017,13.063
A25,12.732,12.628,12.434,10.529,11.741,12.733,13.030,13.017
A26,12.779,12.732,12.628,12.434,10.529,11.741,12.733,13.030
A27,12.544,12.779,12.732,12.628,12.434,10.529,11.741,12.733
A28,11.330,12.544,12.779,12.732,12.628,12.434,10.529,11.741
A29,10.609,11.330,12.544,12.779,12.732,12.628,12.434,10.529
A30,11.145,10.609,11.330,12.544,12.779,12.732,12.628,12.434
A31,10.466,11.145,10.609,11.330,12.544,12.779,12.732,12.628
A32,11.907,10.466,11.145,10.609,11.330,12.544,12.779,12.732
A33,12.746,11.907,10.466,11.145,10.609,11.330,12.544,12.779
A34,12.829,12.746,11.907,10.466,11.145,10.609,11.330,12.544
A35,12.596,12.829,12.746,11.907,10.466,11.145,10.609,11.330
A36,11.111,12.596,12.829,12.746,11.907,10.466,11.145,10.609
A37,13.203,11.111,12.596,12.829,12.746,11.907,10.466,11.145
A38,13.517,13.203,11.111,12.596,12.829,12.746,11.907,10.466
A39,13.588,13.517,13.203,11.111,12.596,12.829,12.746,11.907
A40,13.681,13.588,13.517,13.203,11.111,12.596,12.829,12.746
A41,13.822,13.681,13.588,13.517,13.203,11.111,12.596,12.829
A42,12.879,13.822,13.681,13.588,13.517,13.203,11.111,12.596
A43,11.727,12.879,13.822,13.681,13.588,13.517,13.203,11.111
A44,13.470,11.727,12.879,13.822,13.681,13.588,13.517,13.203
A45,13.591,13.470,11.727,12.879,13.822,13.681,13.588,13.517
A46,13.774,13.591,13.470,11.727,12.879,13.822,13.681,13.588
A47,13.632,13.774,13.591,13.470,11.727,12.879,13.822,13.681
A48,13.483,13.632,13.774,13.591,13.470,11.727,12.879,13.822
A49,12.115,13.483,13.632,13.774,13.591,13.470,11.727,12.879
A50,10.640,12.115,13.483,13.632,13.774,13.591,13.470,11.727
A51,12.352,10.640,12.115,13.483,13.632,13.774,13.591,13.470
A52,12.672,12.352,10.640,12.115,13.483,13.632,13.774,13.591
A53,12.825,12.672,12.352,10.640,12.115,13.483,13.632,13.774
A54,13.009,12.825,12.672,12.352,10.640,12.115,13.483,13.632
A55,12.992,13.009,12.825,12.672,12.352,10.640,12.115,13.483
A56,11.950,12.992,13.009,12.825,12.672,12.352,10.640,12.115
A57,10.969,11.950,12.992,13.009,12.825,12.672,12.352,10.640
A58,12.617,10.969,11.950,12.992,13.009,12.825,12.672,12.352
A59,13.106,12.617,10.969,11.950,12.992,13.009,12.825,12.672
A60,13.307,13.106,12.617,10.969,11.950,12.992,13.009,12.825
A61,13.514,13.307,13.106,12.617,10.969,11.950,12.992,13.009
A62,13.535,13.514,13.307,13.106,12.617,10.969,11.950,12.992
